Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile
490146438670493,4 to 14 Years,M.Tech,$61K-$115K,Nairobi,Kenya,-1.2864,36.8172,Full-Time,54133,2022-08-20,Both,Michael Quinn,898-717-8756,Data Engineer,Data Architect,Jobs2Careers,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Data architecture design Database management systems Data modeling,Design data architecture and systems to meet business needs. Develop data models and database schemas. Ensure data security and compliance.,Baxter International,"{""Sector"":""Healthcare"",""Industry"":""Medical Products and Equipment"",""City"":""Deerfield"",""State"":""Illinois"",""Zip"":""60015"",""Website"":""www.baxter.com"",""Ticker"":""BAX"",""CEO"":""Jose E Almeida""}"
363944948234256,1 to 11 Years,MBA,$59K-$125K,Honiara,Solomon Islands,-9.6457,160.1562,Intern,113973,2022-09-27,Male,Denise Lee,613.963.8936x42335,HR Manager,Human Resources Director,The Muse,"A Human Resources Director leads HR functions, including talent acquisition, employee development, and HR strategy, to promote a positive work environment and support organizational goals.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Strategic HR planning Employee relations Talent management HR policy development Leadership skills,"Oversee all HR functions, including recruitment, benefits administration, employee relations, and policy development. Align HR strategies with business goals. Provide leadership to the HR team.",Waste Management,"{""Sector"":""Waste Management"",""Industry"":""Waste Management"",""City"":""Houston"",""State"":""Texas"",""Zip"":""77002"",""Website"":""www.wm.com"",""Ticker"":""WM"",""CEO"":""James C. Fish Jr.""}"
2269167149165310,2 to 8 Years,MBA,$55K-$85K,Buenos Aires,Argentina,-38.4161,-63.6167,Temporary,87247,2022-11-19,Both,Sandra Kelley,715-431-0987x83619,Art Teacher,Studio Art Teacher,USAJOBS,"A Studio Art Teacher instructs students in studio art practices, providing hands-on guidance in creating art and fostering artistic expression and skill development.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Art instruction Classroom management Art techniques Lesson planning Student assessment,Focus on specific art mediums or techniques in a studio environment. Provide hands-on instruction and guidance. Encourage students to explore and refine their artistic skills.,Old Republic International,"{""Sector"":""Insurance"",""Industry"":""Insurance: Property and Casualty (Stock)"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60601"",""Website"":""www.oldrepublic.com"",""Ticker"":""ORI"",""CEO"":""Craig R. Smiddy""}"
2006777111523978,0 to 13 Years,BA,$61K-$99K,Kingston,Jamaica,18.1096,-77.2975,Temporary,69236,2023-05-27,Both,Anthony Thornton,402-317-0630x3450,Nurse Practitioner,Primary Care Nurse Practitioner,CareerBuilder,"Primary Care Nurse Practitioners provide essential healthcare services, diagnosing and treating common medical conditions, and offering preventive care to patients.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR),"Provide comprehensive primary healthcare services, including assessments, diagnoses, and treatments. Educate patients on health management and prevention. Prescribe medications and develop care plans.",Xiaomi Corporation,"{""Sector"":""Technology and Electronics"",""Industry"":""Technology & Electronics"",""City"":""Beijing"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""https://www.mi.com/en/"",""Ticker"":""1810.HK"",""CEO"":""Lei Jun""}"
982093324113483,0 to 13 Years,BBA,$59K-$106K,San Jose,Costa Rica,9.7489,-83.7534,Temporary,27121,2021-12-13,Both,Rhonda Taylor,907.739.0818x116,Email Marketing Specialist,Deliverability Analyst,Dice,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail","Focus on email deliverability, monitoring email sender reputation and list quality. Troubleshoot email delivery issues and maintain sender compliance. Implement best practices for inbox placement.",McDonald's,"{""Sector"":""Food and Beverage"",""Industry"":""Food Services"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60607"",""Website"":""www.investor.mcdonalds.com"",""Ticker"":""MCD"",""CEO"":""Christopher J. Kempczinski""}"
2057450711518286,4 to 10 Years,BBA,$62K-$130K,Kathmandu,Nepal,28.3949,84.124,Full-Time,22321,2022-05-12,Male,Christopher Morrow,5692989636,Architect,Sustainable Design Specialist,Internships.com,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.,Alaska Air Group,"{""Sector"":""Airlines"",""Industry"":""Airlines"",""City"":""Seattle"",""State"":""Washington"",""Zip"":""98188"",""Website"":""www.alaskaair.com"",""Ticker"":""ALK"",""CEO"":""Benito Minicucci""}"
3044613130081866,3 to 11 Years,MBA,$64K-$119K,Manila,Philippines,12.879721,121.774017,Full-Time,53750,2023-01-02,Both,Jeremy Schaefer,(571)778-6731x75093,Sales Consultant,Sales Advisor,FlexJobs,"Sales Advisors provide expert advice to customers about products or services. They help customers make informed purchase decisions, answer questions, and offer solutions tailored to individual needs.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Sales strategies Customer relationship management Sales techniques Product knowledge Client acquisition Negotiation skills,Provide expert advice and guidance to customers on products or services. Understand customer needs and recommend appropriate solutions. Achieve sales targets and quotas.,Ulta Beauty,"{""Sector"":""Beauty"",""Industry"":""Specialty Retailers: Other"",""City"":""Bolingbrook"",""State"":""Illinois"",""Zip"":""60440"",""Website"":""www.ulta.com"",""Ticker"":""ULTA"",""CEO"":""David C. Kimbell""}"
1432427707227608,1 to 9 Years,MCA,$61K-$125K,Dhaka,Bangladesh,23.685,90.3563,Temporary,115358,2023-02-15,Male,Sara Perez,001-299-611-0989,Purchasing Agent,Supply Chain Coordinator,Stack Overflow Jobs,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,"Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency.",Mahindra & Mahindra Financial Services,"{""Sector"":""Financial Services"",""Industry"":""Financial Services"",""City"":""Mumbai"",""State"":""MH"",""Zip"":""400 018"",""Website"":""www.mahindrafinance.com"",""Ticker"":""M&MFIN"",""CEO"":""Ramesh Iyer""}"
1146872591091317,5 to 13 Years,BA,$58K-$130K,Brazzaville,Republic Of Congo,-0.228,15.8277,Intern,56504,2023-01-24,Both,Melissa Bright,613.726.5213x364,IT Support Specialist,IT Systems Administrator,USAJOBS,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills,"Administer and maintain IT systems, servers, and networks. Implement security measures, backups, and disaster recovery plans. Monitor system performance and resolve issues proactively.",Baker Hughes,"{""Sector"":""Energy"",""Industry"":""Oil and Gas Equipment, Services"",""City"":""Houston"",""State"":""Texas"",""Zip"":""77073"",""Website"":""www.bakerhughes.com"",""Ticker"":""BKR"",""CEO"":""Lorenzo Simonelli""}"
2200998165208285,5 to 13 Years,B.Com,$55K-$117K,Thimphu,Bhutan,27.5142,90.4336,Full-Time,50430,2022-07-18,Male,William Dougherty,001-739-297-4889x757,Veterinarian,Small Animal Veterinarian,ZipRecruiter,"A Small Animal Veterinarian provides medical care to small pets, such as dogs and cats. They diagnose illnesses, perform surgeries, and advise pet owners on healthcare practices.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail,"Diagnose and treat illnesses and injuries in domestic pets, such as dogs and cats. Perform surgeries, vaccinations, and routine check-ups. Provide pet owners with medical advice and care plans.",Mahindra & Mahindra,"{""Sector"":""Automotive"",""Industry"":""Automotive"",""City"":""Mumbai"",""State"":""Maharashtra"",""Zip"":""400018"",""Website"":""www.mahindra.com"",""Ticker"":""M&M"",""CEO"":""Anish Shah""}"
1733241593280861,0 to 11 Years,MBA,$57K-$114K,Tirana,Albania,41.1533,20.1683,Intern,82962,2021-12-15,Male,Ian Knox,9707380827,Network Administrator,Network Engineer,Idealist,"Design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail","Design, configure, and maintain network infrastructure. Troubleshoot network issues and optimize performance. Collaborate with IT teams on network projects.",Brighthouse Financial,"{""Sector"":""Insurance"",""Industry"":""Insurance: Life, Health (Stock)"",""City"":""Charlotte"",""State"":""North Carolina"",""Zip"":""28277"",""Website"":""www.brighthousefinancial.com"",""Ticker"":""BHF"",""CEO"":""""}"
1659494572175048,0 to 8 Years,BA,$65K-$119K,Montevideo,Uruguay,-32.5228,-55.7658,Contract,45602,2023-01-27,Male,Timothy West,+1-213-200-3967x1565,UX/UI Designer,User Experience Designer,Idealist,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Design and improve user experiences (UX) by creating intuitive and user-friendly interfaces for websites and applications. Conduct user research and usability testing. Collaborate with stakeholders to gather and incorporate feedback.,Expedia Group,"{""Sector"":""Travel and Booking"",""Industry"":""Internet Services and Retailing"",""City"":""Seattle"",""State"":""Washington"",""Zip"":""98119"",""Website"":""www.expediagroup.com"",""Ticker"":""EXPE"",""CEO"":""Peter M. Kern""}"
2658676362620678,0 to 9 Years,MCA,$60K-$108K,Kampala,Uganda,1.3733,32.2903,Intern,59897,2022-11-01,Both,Marvin Flores,001-911-613-9495x78277,Market Research Analyst,Market Researcher,FlexJobs,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}",Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data.",IQVIA Holdings,"{""Sector"":""Healthcare"",""Industry"":""Health Care: Pharmacy and Other Services"",""City"":""Durham"",""State"":""North Carolina"",""Zip"":""27703"",""Website"":""www.iqvia.com"",""Ticker"":""IQV"",""CEO"":""Ari Bousbib""}"
346239188068797,0 to 10 Years,PhD,$57K-$120K,Canberra,Australia,-25.2744,133.7751,Intern,18973,2023-04-07,Male,Michael Hebert,001-531-627-4831x49958,Customer Support Specialist,Customer Success Manager,SimplyHired,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products.",McDonald's,"{""Sector"":""Food and Beverage"",""Industry"":""Food Services"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60607"",""Website"":""www.investor.mcdonalds.com"",""Ticker"":""MCD"",""CEO"":""Christopher J. Kempczinski""}"
2698808939980701,0 to 11 Years,M.Tech,$58K-$117K,Kampala,Uganda,1.3733,32.2903,Part-Time,33584,2023-09-02,Both,Dawn Vasquez,842.474.0049,Landscape Architect,Residential Landscape Designer,SimplyHired,Create aesthetically pleasing and functional landscape designs for residential properties.,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Landscape design Plant selection and care Hardscape design,"Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality.",Rank Group,"{""Sector"":""Gambling"",""Industry"":""Hospitality & Entertainment"",""City"":""Maidenhead"",""State"":""England"",""Zip"":""SL6 1EN"",""Website"":""https://www.rank.com/"",""Ticker"":""RNK"",""CEO"":""John O'Reilly""}"
642095410675353,5 to 10 Years,BBA,$58K-$129K,Gibraltar,Gibraltar,36.1408,-5.3536,Full-Time,126086,2022-10-31,Female,Patrick Lynch,622-359-4210x0159,Software Engineer,Backend Developer,USAJOBS,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend.",BlueScope Steel,"{""Sector"":""Mining and Metals/Manufacturing"",""Industry"":""Manufacturing/Steel"",""City"":""Melbourne"",""State"":""VIC"",""Zip"":""3000"",""Website"":""https://www.bluescope.com/"",""Ticker"":""BSL"",""CEO"":""Mark Vassella""}"
2659055653121237,5 to 12 Years,BBA,$62K-$129K,Gaborone,Botswana,-22.3285,24.6849,Temporary,128650,2021-12-21,Male,Amy Keller,+1-241-327-9729,Copywriter,Technical Copywriter,Glassdoor,"Technical Copywriters create content that explains complex technical concepts in a clear and accessible manner. They often write user manuals, product documentation, and technical guides to assist users and customers.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Technical writing Documentation User manuals Technical specifications Industry-specific terminology Research skills,"Create technical documentation, user manuals, and product guides. Translate complex technical concepts into clear and concise content. Work closely with subject matter experts.",Gilead Sciences,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""Foster City"",""State"":""California"",""Zip"":""94404"",""Website"":""www.gilead.com"",""Ticker"":""GILD"",""CEO"":""Daniel P. O'Day""}"
1610592842191022,4 to 13 Years,M.Tech,$58K-$121K,Freetown,Sierra Leone,8.4606,-11.7799,Full-Time,105598,2022-11-20,Female,Dawn Moreno,(209)297-7560x2650,Software Engineer,Frontend Developer,FlexJobs,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization","Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness.",Tencent Music Entertainment Group,"{""Sector"":""Entertainment"",""Industry"":""Technology & Entertainment"",""City"":""Shenzhen"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""https://www.tencentmusic.com/"",""Ticker"":""TME"",""CEO"":""Cussion Pang""}"
1537339088989765,3 to 15 Years,B.Com,$56K-$92K,Bern,Switzerland,46.8182,8.2275,Intern,56669,2022-07-12,Both,Brian Nelson,836-312-6576x5662,SEO Analyst,SEO Content Strategist,Jobs2Careers,"As an SEO Content Strategist, your primary responsibility is to develop and execute content strategies that enhance our online presence. You will conduct keyword research, optimize website content, and collaborate with the marketing team to improve search engine rankings and drive organic traffic. Your role involves staying updated with SEO trends and implementing best practices to boost our websites visibility and engagement.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",SEO (Search Engine Optimization) Content strategy Keyword research Content optimization Content planning Analytics and reporting,"Develop and execute SEO-focused content strategies, including keyword optimization and content planning. Collaborate with content creators and web developers for SEO enhancements. Analyze content performance for SEO improvements.",United Services Automobile Assn.,"{""Sector"":""Insurance"",""Industry"":""Insurance: Property and Casualty (Stock)"",""City"":""San Antonio"",""State"":""Texas"",""Zip"":""78288"",""Website"":""www.usaa.com"",""Ticker"":"""",""CEO"":""Wayne Peacock""}"
